symbol,timestamp,date,time,hour,day_of_week,open,high,low,close,volume,cumulative_volume,price_return,intraday_volatility,price_trend,time_of_day,is_cpi_day,is_nfp_day,is_month_end,macro_event_day,vwap,vwap_deviation
SPY,2025-01-28 16:30:00,2025-01-28,16:30:00,16.5,1,601.34,601.73,601.31,601.67,568756.0,16186516.0,0.0004156828838415283,0.000625855794944324,0.6699999999999591,16.5,0,0,0,0,600.9151220779753,0.7548779220246615
SPY,2025-01-28 16:35:00,2025-01-28,16:35:00,16.583333333333332,1,601.66,601.89,601.05,601.87,459893.0,16646409.0,0.00033240813070301023,0.0006233243983774751,0.8700000000000045,16.583333333333332,0,0,0,0,600.9415026428283,0.9284973571717501
SPY,2025-01-28 16:40:00,2025-01-28,16:40:00,16.666666666666668,1,601.88,601.96,600.95,601.58,353265.0,16999674.0,-0.0004818316247694465,0.0006219811297154487,0.5800000000000409,16.666666666666668,0,0,0,0,600.954771060145,0.625228939854992
SPY,2025-01-28 16:45:00,2025-01-28,16:45:00,16.75,1,601.635,602.15,601.5,602.12,216387.0,17216061.0,0.0008976362246084779,0.0006255301259617351,1.1200000000000045,16.75,0,0,0,0,600.969416709612,1.1505832903879991
SPY,2025-01-28 16:50:00,2025-01-28,16:50:00,16.833333333333332,1,602.13,602.17,601.07,602.08,282537.0,17498598.0,-6.6431940476952e-05,0.000622209589309741,1.080000000000041,16.833333333333332,0,0,0,0,600.9873484816956,1.0926515183044785
SPY,2025-01-28 16:55:00,2025-01-28,16:55:00,16.916666666666668,1,602.0175,602.59,601.945,602.57,276363.0,17774961.0,0.0008138453361679066,0.0006243560290404435,1.57000000000005,16.916666666666668,0,0,0,0,601.0119553610891,1.5580446389109284
SPY,2025-01-28 17:00:00,2025-01-28,17:00:00,17.0,1,602.565,602.78,602.4,602.76,283747.0,18058708.0,0.0003153160628639462,0.0006217976383546999,1.759999999999991,17.0,0,0,0,0,601.0394214689723,1.7205785310277406
SPY,2025-01-28 17:05:00,2025-01-28,17:05:00,17.083333333333332,1,602.77,603.55,602.72,603.47,332375.0,18391083.0,0.0011779149246797793,0.0006295869876752978,2.4700000000000273,17.083333333333332,0,0,0,0,601.0833483839479,2.386651616052177
SPY,2025-01-28 17:10:00,2025-01-28,17:10:00,17.166666666666668,1,603.48,603.69,603.37,603.54,415528.0,18806611.0,0.00011599582415011689,0.00062638817716314,2.5399999999999636,17.166666666666668,0,0,0,0,601.1376275697467,2.4023724302533083
SPY,2025-01-28 17:15:00,2025-01-28,17:15:00,17.25,1,603.55,603.9,603.505,603.73,275271.0,19081882.0,0.00031480929184479756,0.0006238194806151055,2.730000000000018,17.25,0,0,0,0,601.1750245597946,2.554975440205453
SPY,2025-01-28 17:20:00,2025-01-28,17:20:00,17.333333333333332,1,603.73,603.92,603.54,603.81,250248.0,19332130.0,0.00013250956553423343,0.0006207334849416897,2.8099999999999454,17.333333333333332,0,0,0,0,601.2091334414314,2.600866558568555
SPY,2025-01-28 17:25:00,2025-01-28,17:25:00,17.416666666666668,1,603.82,603.8501,603.58,603.7201,357900.0,19690030.0,-0.0001488878951987349,0.0006179034757447991,2.720100000000002,17.416666666666668,0,0,0,0,601.254774556824,2.4653254431759706
SPY,2025-01-28 17:30:00,2025-01-28,17:30:00,17.5,1,603.73,603.88,603.65,603.82,250287.0,19940317.0,0.00016547403341382605,0.0006149692039834007,2.82000000000005,17.5,0,0,0,0,601.286972770147,2.533027229853019
SPY,2025-01-28 17:35:00,2025-01-28,17:35:00,17.583333333333332,1,603.81,603.87,603.5,603.665,206435.0,20146752.0,-0.0002566990162632399,0.000612635437347632,2.6649999999999636,17.583333333333332,0,0,0,0,601.3113393802684,2.3536606197316132
SPY,2025-01-28 17:40:00,2025-01-28,17:40:00,17.666666666666668,1,603.67,603.72,603.3,603.55,209311.0,20356063.0,-0.0001905030107758332,0.0006100553499057808,2.5499999999999545,17.666666666666668,0,0,0,0,601.3343583841385,2.2156416158615
SPY,2025-01-28 17:45:00,2025-01-28,17:45:00,17.75,1,603.56,603.655,603.29,603.53,147242.0,20503305.0,-3.3137271145733393e-05,0.0006071495105800029,2.5299999999999727,17.75,0,0,0,0,601.3501261183063,2.179873881693652
SPY,2025-01-28 17:50:00,2025-01-28,17:50:00,17.833333333333332,1,603.53,603.8,603.46,603.78,150278.0,20653583.0,0.00041422961576054185,0.0006053892187700687,2.7799999999999727,17.833333333333332,0,0,0,0,601.3678061783323,2.4121938216676426
SPY,2025-01-28 17:55:00,2025-01-28,17:55:00,17.916666666666668,1,603.81,604.08,603.71,603.8308,205242.0,20858825.0,8.413660604844608e-05,0.0006025449067044643,2.830799999999954,17.916666666666668,0,0,0,0,601.3920409939534,2.4387590060465527
SPY,2025-01-28 18:00:00,2025-01-28,18:00:00,18.0,1,603.85,604.29,603.7532,604.25,196526.0,21055351.0,0.0006942342126305956,0.0006030548021237122,3.25,18.0,0,0,0,0,601.4187165526569,2.8312834473431394
SPY,2025-01-28 18:05:00,2025-01-28,18:05:00,18.083333333333332,1,604.2499,604.53,604.21,604.3,783863.0,21839214.0,8.274720728174145e-05,0.0006002688186712257,3.2999999999999545,18.083333333333332,0,0,0,0,601.5221328883769,2.7778671116230953
SPY,2025-01-28 18:10:00,2025-01-28,18:10:00,18.166666666666668,1,604.3,604.55,604.25,604.5398,145032.0,21984246.0,0.0003968227701474092,0.0005984617023196326,3.539800000000014,18.166666666666668,0,0,0,0,601.5420407031153,2.9977592968847375
SPY,2025-01-28 18:15:00,2025-01-28,18:15:00,18.25,1,604.53,604.79,604.53,604.775,325057.0,22309303.0,0.00038905627057128633,0.0005966243849548357,3.7749999999999773,18.25,0,0,0,0,601.5891464352023,3.1858535647976396
SPY,2025-01-28 18:20:00,2025-01-28,18:20:00,18.333333333333332,1,604.77,604.77,604.24,604.4201,431003.0,22740306.0,-0.0005868298127401639,0.0005969627567816603,3.4201000000000477,18.333333333333332,0,0,0,0,601.6428022426171,2.7772977573829394
SPY,2025-01-28 18:25:00,2025-01-28,18:25:00,18.416666666666668,1,604.43,604.47,604.02,604.1799,208874.0,22949180.0,-0.000397405711689669,0.0005957368568949497,3.179899999999975,18.416666666666668,0,0,0,0,601.6658938631881,2.5140061368118722
SPY,2025-01-28 18:30:00,2025-01-28,18:30:00,18.5,1,604.18,604.44,604.15,604.4068,142028.0,23091208.0,0.000375550394841051,0.0005939294453587217,3.4067999999999756,18.5,0,0,0,0,601.6827524622184,2.72404753778153
SPY,2025-01-28 18:35:00,2025-01-28,18:35:00,18.583333333333332,1,604.395,604.46,603.9,603.97,130421.0,23221629.0,-0.000722692067660291,0.0005956079810854455,2.9700000000000273,18.583333333333332,0,0,0,0,601.6955984650173,2.2744015349827578
SPY,2025-01-28 18:40:00,2025-01-28,18:40:00,18.666666666666668,1,604.01,604.01,603.56,603.8745,291074.0,23512703.0,-0.0001581204364455857,0.0005932860303332358,2.874500000000012,18.666666666666668,0,0,0,0,601.7225720369368,2.151927963063258
SPY,2025-01-28 18:45:00,2025-01-28,18:45:00,18.75,1,603.87,604.01,603.62,603.98,295806.0,23808509.0,0.00017470517466788849,0.0005908661524370402,2.980000000000018,18.75,0,0,0,0,601.7506191832761,2.2293808167239604
SPY,2025-01-28 18:50:00,2025-01-28,18:50:00,18.833333333333332,1,604.0,604.19,603.89,603.97,521557.0,24330066.0,-1.655683963042165e-05,0.0005883550624520248,2.9700000000000273,18.833333333333332,0,0,0,0,601.7981954455282,2.171804554471805
SPY,2025-01-28 18:55:00,2025-01-28,18:55:00,18.916666666666668,1,603.93,604.0,603.67,603.800225,117892.0,24447958.0,-0.00028109839892720423,0.0005865724408395472,2.800224999999955,18.916666666666668,0,0,0,0,601.8078495552185,1.9923754447814872
SPY,2025-01-28 19:00:00,2025-01-28,19:00:00,19.0,1,603.79,603.9,603.4701,603.4701,273619.0,24721577.0,-0.0005467454073903033,0.0005864891251689812,2.470100000000002,19.0,0,0,0,0,601.8262473825274,1.6438526174725894
